lift to drag ratio,velocity,apoapsis,delta_v,exit_velocity,g_load_max,heat_flux_max,convective_heat_max,radiative_heat_max
0.9,14000.0,477780.11544369225,128.56672973174682,3520.897027822013,6.82706687713175,237.4058470815143,106.01223205472685,131.39361502678747
1.0,14000.0,499999.7732072048,132.07025277129742,3527.2375752268927,7.159573759655257,236.24877033604542,105.726961115757,130.52180922028842
1.1,14000.0,500000.0121959409,131.33210204107536,3527.5077322936777,7.584706571106043,238.99623946515035,106.39540475686115,132.6008347082892
1.2000000000000002,14000.0,499999.6872276754,131.2335637377373,3527.7636569058445,8.014085359961163,240.6985581884543,106.81549040906137,133.88306777939295
1.3,14000.0,499999.8966736182,130.5403948429339,3528.112373107627,8.364191299589217,239.04015731083368,106.40500501618124,132.63515229465244
1.4000000000000001,14000.0,499999.98982494354,130.51840380035856,3528.0693820433967,8.83301139074793,240.56903107950157,106.78658162112907,133.7824494583725
1.5,14000.0,499999.778252188,129.315035295273,3529.438596409536,9.31129593033875,241.97823754650287,107.12031731371584,134.85792023278702
1.6,14000.0,499999.84926235804,127.54360419706427,3531.0834877235125,9.641833885193622,238.83595141320177,106.35359644330951,132.48235496989224
1.7000000000000002,14000.0,500000.3496257952,128.33715357043639,3530.4899702404605,10.117279114659832,238.5384504753867,106.28984221139928,132.24860826398742
1.8,14000.0,499999.9798559896,128.20231860244076,3530.0866671753483,10.606774946702126,241.23174376020773,106.93993073989928,134.29181302030844
1.9000000000000001,14000.0,499999.76608987275,126.71504161818484,3531.9905335937983,11.126179882982631,243.2387597180524,107.42301177533015,135.81574794272225
2.0,14000.0,499999.92293567973,127.7133792109039,3530.823981899714,11.52123475647589,240.4614573139483,106.7454604170699,133.7159968968784
0.9,14200.0,482385.7544117947,129.20793469790624,3522.097347224006,7.062802957835763,254.0802074149467,110.39154840902192,143.68865900592476
1.0,14200.0,499999.960808896,132.43473932420557,3526.5186158851784,7.3893183533365105,253.6282182739524,110.28333144491921,143.3448868290332
1.1,14200.0,497727.60869563505,136.94329216774395,3521.5131517911045,7.809432039531307,255.36473808936222,110.68690710215061,144.6778309872116
1.2000000000000002,14200.0,499999.8866379539,130.81504499629136,3527.857049144716,8.219797647596769,255.31338717480514,110.68852558971837,144.6248615850868
1.3,14200.0,499999.83062545146,129.79826888785647,3529.2970708356875,8.662548762804024,256.2160888829431,110.88223652721841,145.33385235572467
1.4000000000000001,14200.0,500000.3239585068,129.33277721979357,3529.5340573309195,9.048532053912725,253.36148090110984,110.2298677112721,143.13161318983774
1.5,14200.0,499999.8986659564,129.01153996561106,3530.0172005192,9.531486165623969,257.75588799831064,111.2430132469803,146.51287475133037
1.6,14200.0,500000.0422043304,127.86139424935573,3530.4356548431715,10.021728796170898,256.90553156768897,111.03846022757455,145.86707134011445
1.7000000000000002,14200.0,500000.0763488037,128.3095473980643,3530.5800858920134,10.274930975644478,252.96887266630517,110.13096883017484,142.83790383613035
1.8,14200.0,499999.7498909107,126.76223322684746,3531.799228076923,10.984710305490152,258.76196848304977,111.48859248947883,147.27337599357094
1.9000000000000001,14200.0,499999.7807969797,126.88413796391205,3531.553084495219,11.383229367632563,260.2139962185345,111.80854019823835,148.40545602029616
2.0,14200.0,499999.8728297982,127.70034183105827,3530.835002878884,11.773457168297101,257.3853908820238,111.20973768690924,146.24355164262406
0.9,14400.0,481706.9229983132,129.1127721624348,3521.925430424385,7.226885883165061,272.3252426168492,115.16681873070048,157.2466153165895
1.0,14400.0,500000.0267033561,132.65373817825503,3526.06124468428,7.618957140301868,273.03398590199356,115.33406866560827,157.7951902250645
1.1,14400.0,499999.90502652724,131.00341528229046,3528.181405313672,8.020305937805043,273.99753512238067,115.54648148328837,158.5368663023628
1.2000000000000002,14400.0,499999.9034498808,130.82844588915577,3527.8383375405374,8.352110776088004,269.6063276380052,114.5220485298864,155.1458142342252
1.3,14400.0,499999.90065062797,130.8060562852388,3527.8457979658992,8.91715154493117,274.40431152978664,115.70260065781989,158.85687523291887
1.4000000000000001,14400.0,500000.27709641086,130.06165678802563,3528.9245090280306,9.264700132597712,271.3081963281902,114.92136738076972,156.46283325098085
1.5,14400.0,499999.92511364433,129.02397810709363,3530.001605742629,9.7694176224502,275.7553957694113,115.94472158040753,159.89617242242826
1.6,14400.0,500000.09617812035,127.8672886392651,3530.4392727707523,10.158326255729005,273.4182764024814,115.51533298023986,157.92328736363226
1.7000000000000002,14400.0,499999.81991291355,128.40870958643882,3530.284400424499,10.634732842481716,272.29285335871396,115.18185028042011,157.22711320795426
1.8,14400.0,500000.3888855008,126.61707426420844,3532.056682019747,11.220291253914741,273.40413465093127,115.33088788142274,158.07324676950856
1.9000000000000001,14400.0,499999.800132271,126.84877779851149,3531.6532596734028,11.658220751727294,277.1428617265595,116.36700159954478,160.94142359863645
2.0,14400.0,500000.3843048867,127.6996701586645,3530.9966609847156,12.086948301932944,275.5958598682736,116.00502586064715,159.5908340076264
0.9,14600.0,479924.64207930025,128.8591329630417,3521.463404816381,7.417557125784678,290.30162705919497,119.81112780436693,170.80368704360657
1.0,14600.0,499999.8553657195,133.20421014886915,3525.9362260567273,7.785162742455678,290.49746317345864,119.8653676334027,170.8281114253213
1.1,14600.0,500000.107231259,131.13164960787026,3527.9333122238036,8.180195154571592,290.25873733088065,119.77564417412336,170.76613456144847
1.2000000000000002,14600.0,499999.836364125,131.26176287655517,3527.7007648048084,8.628372588532242,289.8882070802012,119.71678689564664,170.49058522787217
1.3,14600.0,500000.02427213563,130.96234476275004,3527.5356900504435,9.107503939089405,293.46385319236487,120.51250802302778,173.2631780238516
1.4000000000000001,14600.0,499999.88767043175,129.95098326323478,3529.1609601529963,9.435330762412885,289.4231234589546,119.61790418007784,169.90749337145556
