gamma_initial,mass,velocity_initial,lift_multiplier,drag_multiplier,density_multiplier,success,failure,max_total_heat_flux,max_rad_heat_flux,max_conv_heat_flux,max_g_load,apoapsis_altitude,periapsis_altitude,delta_v,velocity_exit
-10.831598217231114,10021.240544332319,15920.984172222485,0.8427202355035248,1.1951696024117475,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A8D4EC0>,False,APOAPSIS_OUT_OF_RANGE,,,,,,,,
-10.521895936209747,10040.269349370137,15820.157264559273,0.9425034164662285,0.8604163224102068,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A86F610>,False,STEP1_NO_BANK,,,,,,,,
-10.652077204498912,10008.069405752807,15922.201166256737,1.0363388583743292,0.9870719649589238,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A86F390>,True,SUCCESS,391.6697177051851,244.95432902029233,147.5431782310788,8.516789509772313,499999.82741826214,59898.78850414805,123.94039682621951,3534.101719204648
-10.654444980463728,10025.503135105268,16223.500154423782,1.0482931951560062,0.9520956569899196,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A833E10>,True,SUCCESS,459.3536568561917,298.335991754857,162.42868598309224,9.450492334686352,499999.3440018934,59717.77804605588,130.32800402980502,3528.333838457759
-10.21421314952952,9988.286098921515,15903.875142167653,0.9958680968908149,1.2729441196718863,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AA40050>,False,STEP1_NO_BANK,,,,,,,,
-10.333831656045858,10007.312270732386,15986.429568765936,0.950208284131859,1.1408238107654671,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A8E8A70>,False,STEP1_NO_BANK,,,,,,,,
-10.637995008154837,10007.72324813178,16138.940204799288,1.0493416856523932,0.8983468907413149,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD7FA7CC00>,True,SUCCESS,512.2866484566898,343.27025686652735,169.81177362879473,10.195675329207178,458503.8935157724,59572.75654757277,141.347882363621,3500.8061037826874
-10.745394280417322,9983.681788139775,16273.794392871072,1.0322023856461016,0.892705865631782,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A8BD590>,False,STEP2_EXITED_ATMOSPHERE,,,,,,,,
-10.739810059327262,9972.412163321169,16350.758290515167,0.9994541213852112,1.0451198370584986,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD7FA31E50>,False,STEP2_EXITED_ATMOSPHERE,,,,,,,,
-10.719251332191071,9995.023730239576,15849.559892487561,1.031483597416334,0.929841647654139,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD492CF450>,False,STEP2_EXITED_ATMOSPHERE,,,,,,,,
-10.039714444724517,9965.942633238574,15674.882499451556,0.9962401101090234,1.023390151032908,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD7FA6C7D0>,False,STEP1_NO_BANK,,,,,,,,
-10.952185670495842,10032.653863570427,15835.08644842602,0.9884545610611777,0.8388268190654831,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A7666C0>,True,SUCCESS,563.1569629967523,385.4240635447961,178.70548244319767,9.938752849006256,499999.8592207991,59572.760452513605,122.62436237709562,3535.7532593225965
-10.40428295078522,9955.42093608207,15941.663997652671,1.1685154185496063,0.938077937814825,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A901EF0>,False,STEP1_TOO_MANY_ITERATIONS,,,,,,,,
-10.692239979350763,9997.075794312377,16386.699421199814,1.1206141295972385,0.9690730144722469,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A901FD0>,False,STEP2_EXITED_ATMOSPHERE,,,,,,,,
-10.242926209541313,9959.716237549423,15763.263842126147,0.946721308104298,1.038555841865625,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A9E1640>,False,STEP1_NO_BANK,,,,,,,,
-10.447803675667792,10049.117506521681,16171.577063497482,1.3135164282069869,0.8905456110742375,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD493168D0>,True,SUCCESS,,,,11.334972607156224,500000.00462468475,60027.8598485879,155.90771150447654,3505.0494801758023
-10.66364289242544,9912.136653146705,15948.811429031834,0.9548576179491713,0.9367883390446663,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A869F10>,False,APOAPSIS_OUT_OF_RANGE,,,,,,,,
-10.871840139814173,10004.17850778303,15862.649653896378,0.985813472140538,1.1255126922032999,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A991E90>,False,APOAPSIS_OUT_OF_RANGE,,,,,,,,
-10.598013540569008,10064.721850670696,15738.559506490452,1.0489262455065884,1.1012385411331862,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A96EF10>,True,SUCCESS,333.0196763936884,200.33268894471868,133.4334178044296,8.326586741278435,499999.96259355306,59587.31123293121,134.64760849861614,3524.321750873065
-10.499043757448337,10003.808370667066,15900.67026355359,1.0007067316929197,0.9532138488990959,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A8BAA30>,True,SUCCESS,,,,8.125559419210653,482094.68890774663,60019.4894179502,135.96519170555212,3515.4551289013966
-10.770605185984607,9983.209356571515,16195.67887856598,0.9824398742092537,0.844068058504518,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A8BAAD0>,False,STEP1_NO_BANK,,,,,,,,
-10.919544222958596,10021.994200395224,16012.586059259595,1.0228554016811817,1.1481993223733353,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A9F97F0>,False,STEP2_EXITED_ATMOSPHERE,,,,,,,,
-10.56266454452059,10052.205424247011,15844.992493901895,1.0941628298254094,0.9809678794113285,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A90FBD0>,False,STEP1_NO_BANK,,,,,,,,
-10.511476321151777,10045.973791711944,15596.791560560605,1.122665028940442,0.9584026829472799,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A90FC50>,False,STEP1_NO_BANK,,,,,,,,
-10.946278313065301,10009.957353320864,15697.965705621758,1.1106963141717565,0.8826341689588141,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A8E6DD0>,False,STEP2_EXITED_ATMOSPHERE,,,,,,,,
-10.680179414994925,9952.74409056644,15731.530173425333,0.8886505734768173,0.9696202092939886,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A8E7380>,False,STEP1_NO_BANK,,,,,,,,
-10.905129769221867,10004.440010450504,16326.125581019429,1.050628758708877,1.2336421804808602,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A8E6AC0>,False,APOAPSIS_OUT_OF_RANGE,,,,,,,,
-10.751056264224184,10031.079876130683,16147.349182286063,0.9191432700573898,0.9313227950220202,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A8E75B0>,False,STEP1_NO_BANK,,,,,,,,
-11.086664002450059,9993.02416738222,16126.054849365884,0.9277327667708324,0.9986847791975595,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A8E7540>,False,APOAPSIS_OUT_OF_RANGE,,,,,,,,
-10.979875217263665,10033.675426620826,16095.0172192448,1.058367084921936,1.0140753626981185,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A8E7620>,False,STEP2_EXITED_ATMOSPHERE,,,,,,,,
-11.005692668836021,9999.677453101476,15654.13129702792,0.9930429645734887,0.9664575853338291,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A8E7700>,False,STEP2_EXITED_ATMOSPHERE,,,,,,,,
-10.280971582015672,9990.030534910764,16170.398389059666,0.85667646721589,0.9837240834579535,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A8E77E0>,False,STEP1_NO_BANK,,,,,,,,
-10.886967066276407,10007.979822294401,15969.738474421556,1.1026242110878413,1.135096206454111,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A8E7850>,True,SUCCESS,435.4462335111377,279.08123189482336,156.574813122043,10.898779107511759,499999.57436746557,59918.09633860717,132.8572355463234,3526.520162902532
