lift to drag ratio,gamma,apoapsis,delta_v,exit_velocity,g_load_max,heat_flux_max,convective_heat_max,radiative_heat_max
1.8,-10.3,499999.9210076297,126.94340041783653,3531.4287562076347,8.790782409484146,292.76338028839086,127.5350228336594,166.12585820808224
1.9000000000000001,-10.3,499999.9975085737,126.9944179773538,3531.281135445168,9.480901368180128,298.7000310628369,128.78385861955474,170.8770296559732
2.0,-10.3,499999.87134800927,127.72193720449604,3530.794628850822,9.979781954676087,301.08466780963033,128.74719961542255,173.06092236611335
1.3,-10.4,499999.9076334019,131.04260659071088,3528.1244745471495,7.860483037299888,324.4072886358316,134.42592021565207,190.86687891102596
1.4000000000000001,-10.4,499999.87968334433,129.7513291808432,3528.791814427013,8.334607207925899,328.2490061257589,135.21251510219614,193.83466877613918
1.5,-10.4,500000.2706754395,129.09233010541448,3529.798053107681,8.903051588350573,330.8150442758684,135.6494288703721,196.1524982356444
1.6,-10.4,499999.96269298467,128.00163475205,3530.8842576976795,9.471201440797143,334.082087838475,136.28252281858514,198.92309901903388
1.7000000000000002,-10.4,500000.28267497517,128.41382677213915,3530.3454825556773,9.812505590564166,330.66609241090873,135.17387916553173,196.5999720923343
1.8,-10.4,499999.98054142034,128.10166442034188,3530.261780455698,10.12132104932576,329.64081878501815,135.4448368767351,195.16117931287494
1.9000000000000001,-10.4,499999.72680018074,126.65373243739486,3532.1321060994956,11.035266886081166,339.75087374185875,137.16162304192602,203.42436570323795
2.0,-10.4,499999.7433827474,127.70809087737052,3530.963916700433,10.862465608837427,329.0957848631099,135.45642834815098,194.4028139968564
1.1,-10.5,500000.1095990158,132.0290606874978,3527.1357227643202,8.159838208292143,362.65016165662996,142.16632558298824,221.6709347040097
1.2000000000000002,-10.5,499999.921705084,131.40962348285757,3527.321597133452,8.597163746382387,364.4615005157485,142.56294575579088,223.14466818873848
1.3,-10.5,499999.83742729237,129.23540905484742,3529.5482902884182,8.901644225026873,361.0197284821147,141.92386766752927,220.19480605867722
1.4000000000000001,-10.5,500000.00053143053,129.7621712258865,3528.7691112582734,9.497269488524134,364.38282101799086,142.5137951241661,223.0985885269672
1.5,-10.5,499999.91094488837,129.01818676313633,3530.003083864106,10.264864610696819,372.2139290833643,143.8726869750908,229.42939642046952
1.6,-10.5,500000.04095431685,127.8834940921115,3530.3921696068805,10.825558734128313,371.3549685071424,143.05083111189535,229.50527753403935
1.7000000000000002,-10.5,500000.37077564775,128.41651300742797,3530.340536166398,11.23331222569198,371.0611705433595,143.6438249551514,228.51858183988662
1.8,-10.5,499999.9216366433,126.93042154181148,3531.469049686964,12.050808313105156,376.0811833237864,143.68471525465867,233.32995678732112
1.9000000000000001,-10.5,499999.6463564196,126.87761673788691,3531.6102001763197,12.418900853775492,377.2245921403113,144.77235425933762,233.52945282146564
2.0,-10.5,499999.7899490026,127.69970490313017,3530.8910812194013,12.415195191442148,364.1876032368792,142.37613019542903,222.93130538311468
0.9,-10.6,481889.10400849115,129.13464407910078,3521.9744520249433,8.250924759396415,400.83221583913326,149.36091456419,252.44838666046164
1.0,-10.6,499999.9884840414,132.43733228568271,3526.5173187227347,8.740751981544395,402.25802706055816,149.38315561009676,253.78792605078533
