velocity,gamma,success,apoapsis,delta_v,exit_velocity,max_g_load,max_total_heat_flux,max_rad_heat_flux,max_conv_heat_flux
14000.0,-12.0,False,,,,,,,
14000.0,-11.948717948717949,False,,,,,,,
14000.0,-11.897435897435898,False,,,,,,,
14000.0,-11.846153846153847,False,,,,,,,
14000.0,-11.794871794871796,False,,,,,,,
14000.0,-11.743589743589745,False,,,,,,,
14000.0,-11.692307692307692,False,,,,,,,
14000.0,-11.64102564102564,False,,,,,,,
14000.0,-11.58974358974359,False,,,,,,,
14000.0,-11.538461538461538,False,,,,,,,
14000.0,-11.487179487179487,False,,,,,,,
14000.0,-11.435897435897436,False,,,,,,,
14000.0,-11.384615384615385,False,,,,,,,
14000.0,-11.333333333333334,False,,,,,,,
14000.0,-11.282051282051283,False,,,,,,,
14000.0,-11.23076923076923,False,,,,,,,
14000.0,-11.179487179487179,False,,,,,,,
14000.0,-11.128205128205128,False,,,,,,,
14000.0,-11.076923076923077,False,,,,,,,
14000.0,-11.025641025641026,False,,,,,,,
14000.0,-10.974358974358974,True,500000.12544033147,128.03634452534288,3530.6907692313503,7.013540938523005,261.11293037497893,149.03900046593046,112.07392990904846
14000.0,-10.923076923076923,False,,,,,,,
14000.0,-10.871794871794872,True,499999.98509295745,127.40540478026514,3531.1167792852107,6.962153154025313,255.47662430095622,144.91287955566762,110.64545984154623
14000.0,-10.820512820512821,True,499999.8564314972,128.09227871139592,3530.571003771835,6.9043510609272465,251.92347986675696,142.26152908966986,109.66195077708709
14000.0,-10.76923076923077,True,500000.1080759809,128.05661608713172,3530.669961337877,6.829056509090898,247.70337910476724,139.16410163764598,108.62641121942616
14000.0,-10.717948717948719,True,499999.81264890434,127.9370809533234,3530.92726859374,6.818511806714436,244.19674129968107,136.45373982225786,107.7430014774232
14000.0,-10.666666666666666,True,499999.94370164594,127.97389635040645,3530.877756847469,6.7467616207073915,240.12572468693534,133.46620210895395,106.65952257798139
14000.0,-10.615384615384615,True,499999.9828217094,127.15605411807474,3531.572766579245,6.642997928659573,234.34866301032048,129.1758112339904,105.24475412177884
14000.0,-10.564102564102564,True,499999.807478258,128.05566924281538,3530.6580115785855,6.489053970454839,227.06810978473507,123.6807003567491,103.38740942798597
14000.0,-10.512820512820513,True,500000.0074619799,127.51376899604338,3530.971743439674,6.228895662884509,217.88830122461752,116.90914106178607,100.97916016283143
14000.0,-10.461538461538462,True,499999.6961640563,128.06288808329327,3530.6398581915873,5.779792830639815,206.08974397390173,108.17577339833377,97.91397057556796
14000.0,-10.41025641025641,False,,,,,,,
14000.0,-10.35897435897436,False,,,,,,,
14000.0,-10.307692307692308,False,,,,,,,
14000.0,-10.256410256410255,False,,,,,,,
14000.0,-10.205128205128204,False,,,,,,,
14000.0,-10.153846153846153,False,,,,,,,
14000.0,-10.102564102564102,False,,,,,,,
14000.0,-10.051282051282051,False,,,,,,,
14000.0,-10.0,False,,,,,,,
14105.263157894737,-12.0,False,,,,,,,
14105.263157894737,-11.948717948717949,False,,,,,,,
14105.263157894737,-11.897435897435898,False,,,,,,,
14105.263157894737,-11.846153846153847,False,,,,,,,
14105.263157894737,-11.794871794871796,False,,,,,,,
14105.263157894737,-11.743589743589745,False,,,,,,,
14105.263157894737,-11.692307692307692,False,,,,,,,
14105.263157894737,-11.64102564102564,False,,,,,,,
14105.263157894737,-11.58974358974359,False,,,,,,,
14105.263157894737,-11.538461538461538,False,,,,,,,
14105.263157894737,-11.487179487179487,False,,,,,,,
14105.263157894737,-11.435897435897436,False,,,,,,,
14105.263157894737,-11.384615384615385,False,,,,,,,
14105.263157894737,-11.333333333333334,False,,,,,,,
14105.263157894737,-11.282051282051283,False,,,,,,,
14105.263157894737,-11.23076923076923,False,,,,,,,
14105.263157894737,-11.179487179487179,False,,,,,,,
14105.263157894737,-11.128205128205128,False,,,,,,,
14105.263157894737,-11.076923076923077,False,,,,,,,
14105.263157894737,-11.025641025641026,False,,,,,,,
14105.263157894737,-10.974358974358974,True,499999.9602864191,127.64547152818841,3530.748473360855,7.097274702848886,269.5179407818234,155.2218566948915,114.29608408693191
14105.263157894737,-10.923076923076923,True,499999.9805895047,126.9926422572048,3531.1774625301296,7.052604144299157,266.9033580261972,153.42164828667816,113.48170973951905
14105.263157894737,-10.871794871794872,True,499999.89487362246,127.94147045050931,3530.900189689875,7.030110186814386,263.8160563038268,150.96830506563708,112.84775123818977
14105.263157894737,-10.820512820512821,True,499999.94554203236,126.82230193093528,3531.576053024298,6.9898504469238105,261.1723415308927,149.12611699384846,112.04622453704427
14105.263157894737,-10.76923076923077,True,500000.0015478013,126.93724739166873,3531.341352679253,6.977310474939017,256.8361631432251,145.8527120343299,111.10973897913252
14105.263157894737,-10.717948717948719,True,499999.9878287028,126.81145170278432,3531.6030867205645,6.908648764288945,253.51355812503496,143.34680208373416,110.1667560413008
14105.263157894737,-10.666666666666666,True,499999.97903956036,126.92000101417489,3531.338158743106,6.849268575237559,249.2691410416072,140.2385310636044,109.07188610416034
14105.263157894737,-10.615384615384615,True,499999.7954457828,127.95700847290072,3530.8762165663493,6.711844531573744,240.9580111926627,134.02578363231999,107.03115143114212
