lift to drag ratio,beta,apoapsis,delta_v,exit_velocity,g_load_max,heat_flux_max,convective_heat_max,radiative_heat_max
0.9473684210526315,40.0,492609.4484783693,132.04887231405382,3523.574522684801,8.975686240596932,430.57209752250736,155.40139159764627,276.0169562992235
1.0526315789473684,40.0,500000.12332458864,132.07905418904875,3527.0327358807385,9.463145525218394,430.794148004339,155.46065018936903,276.10898976636696
1.1578947368421053,40.0,499999.854179841,131.14553441573344,3527.806364040338,10.006225261443678,432.2986460324868,155.75276782070017,277.13117783316756
1.263157894736842,40.0,500000.0983198924,130.53726549631256,3528.191794788293,10.57942433317884,433.172921901421,155.7915376149567,278.1386682661425
1.3684210526315788,40.0,499999.8678796324,129.49214818903465,3529.333610279054,11.138085199823243,431.8563081961431,155.59161894697013,277.28568813953035
1.4736842105263157,40.0,499999.84111619194,128.6266427580972,3530.007231217862,11.807992513746829,437.57299220898244,156.5970866362426,281.5999845438933
1.5789473684210527,40.0,499999.74393920717,129.45254099097338,3529.265259005546,12.206521987758032,432.5631741250205,155.8099951977273,277.2233228291717
1.6842105263157894,40.0,500000.041758759,128.1724875768109,3530.7309883993507,12.831025894668775,428.62004122700887,154.82837864676455,274.98613282096267
1.789473684210526,40.0,499999.8565509175,128.60574694915613,3530.1335279488103,13.66783008751332,443.59248954873703,157.64982897210777,286.2645706983151
1.894736842105263,40.0,500000.4463200126,127.28543491555547,3531.3808089483946,14.213165288600072,438.0943321956509,156.7770540820647,281.7886857780514
2.0,40.0,499999.8470357317,127.71045937188819,3530.800130074404,14.669216548546578,431.5066455286212,155.54150961995978,276.8863659222576
0.9473684210526315,40.204081632653065,499999.96011535404,132.27459251195341,3526.9813239473574,8.94098804403448,431.00150947970656,155.48646526501082,276.47199365838424
1.0526315789473684,40.204081632653065,499999.94147546776,131.5562783232608,3527.2042707565256,9.472200428207326,432.9077631416869,155.83998950591084,278.00819963419343
1.1578947368421053,40.204081632653065,500000.05742429756,130.31696710178994,3528.723059672274,10.042099925354377,434.85302584504484,156.1832648771678,279.5325284381835
1.263157894736842,40.204081632653065,500000.1808031099,130.3200762899546,3528.673701507754,10.539193928267112,433.1399539604333,155.68976185867805,278.6445958935757
1.3684210526315788,40.204081632653065,499999.9747899803,129.6159533373002,3529.0478065618768,10.961091725918074,430.0111795076831,155.3777509470939,275.3257907066286
1.4736842105263157,40.204081632653065,499999.9069435605,128.6916749650568,3529.9798707830237,11.63266343755582,435.6723052120601,156.37622023529158,279.63798253670393
1.5789473684210527,40.204081632653065,499999.9756936695,127.25803817371889,3530.9689316628896,12.267051286725685,437.9181816154147,156.69311640191484,281.557532665414
1.6842105263157894,40.204081632653065,499999.80886845867,127.91266683702133,3530.6954511049616,12.61672932884586,426.33418590328824,154.61868696172365,273.0506223804571
1.789473684210526,40.204081632653065,499999.9768609288,127.20514785389832,3531.0786879962147,13.58740522434064,441.63341245790104,157.42287189159308,284.5948549529987
1.894736842105263,40.204081632653065,499999.88364327856,126.49522207870268,3531.7582598453328,14.004133303435506,436.19259558891304,156.55679559830534,280.16905435115234
2.0,40.204081632653065,499999.93407849903,127.54291889942442,3530.6242143426125,14.776586774285184,436.66981103857665,156.405100018279,281.5571895858531
0.9473684210526315,40.40816326530612,495782.1101468989,132.18692334054185,3524.999663710709,8.896407396782058,430.8697991654251,155.46515262812383,276.4889927712681
1.0526315789473684,40.40816326530612,499999.76459165197,131.11142745289726,3527.3682129321596,9.477548266576202,434.7641244331494,156.16786049806475,279.7207180003467
1.1578947368421053,40.40816326530612,499999.8549498403,130.39062048464666,3528.4862811210264,9.9856149213012,436.92202817773216,156.51996482498583,281.0621126402251
1.263157894736842,40.40816326530612,499999.79321732937,130.16889406040946,3528.2424342454333,10.492348442906701,432.6629111728257,155.47489750579493,278.2093651937387
1.3684210526315788,40.40816326530612,499999.8885200992,129.68149412348885,3528.9956765231077,11.03774472311651,433.70762291660884,156.0146368649155,278.6388444560396
1.4736842105263157,40.40816326530612,499999.8870368114,128.85470903741452,3529.613701540246,11.677680346853375,437.37077135314274,156.55556349980526,281.7123392407498
1.5789473684210527,40.40816326530612,499999.98032621463,127.29408416428078,3530.916086953829,12.180969167556695,436.0219265156126,156.4736217142551,280.1414608340662
1.6842105263157894,40.40816326530612,499999.632357792,127.83617594628777,3530.841806175134,12.595614242410337,427.9597305464607,154.94266099752903,274.35407091863243
1.789473684210526,40.40816326530612,500000.02786877815,127.34776938840378,3530.9371998051047,13.41420660397111,439.703715546147,157.1983684859012,282.9512875633706
1.894736842105263,40.40816326530612,499999.944281323,126.37102549583278,3532.0248916713435,14.14565284211854,443.5918739726625,157.73373297241727,286.21784610002703
2.0,40.40816326530612,499999.86642937496,127.36136709920675,3531.0004740812224,14.635140661663383,434.7780626318106,156.18643925681653,279.5465557773397
0.9473684210526315,40.61224489795919,499999.77092234645,132.21142718731107,3526.371173221288,8.878472687029024,431.16653999742886,155.32030433390472,276.9179856328297
1.0526315789473684,40.61224489795919,499999.9417885787,130.78729036730738,3528.0867309155733,9.35986366595548,432.89801076264905,155.951949390971,277.7502267334972
1.1578947368421053,40.61224489795919,499999.9479567759,130.0056554836442,3528.6048828748817,9.909010498568874,435.0374350312486,156.301514002493,279.56806716269296
1.263157894736842,40.61224489795919,499999.9278459055,129.85040263926612,3528.9417733987825,10.415865666011724,430.98895198226205,155.26236543132472,276.7705644419671
1.3684210526315788,40.61224489795919,500000.3169466587,129.4981263348277,3529.380720342221,11.033127226376678,437.75802791137386,156.69807944984197,281.70817821630925
1.4736842105263157,40.61224489795919,499999.8766777485,128.3020700818215,3530.116438717625,11.693167522526803,438.2446989664986,156.5388877057453,282.7823682840002
1.5789473684210527,40.61224489795919,500000.0317927002,126.64418455581381,3531.5749261227234,12.237799010060217,441.51856280819425,157.36538503636854,284.5083560771747
1.6842105263157894,40.61224489795919,499999.8973734145,127.66869700916914,3530.5008294089753,12.505381218447896,428.15669565855535,155.05323060663233,274.37199543246396
1.789473684210526,40.61224489795919,499999.8476688155,126.35788943558782,3531.9611020755965,13.449090798096554,443.836003598116,157.76109898942698,286.2805984568464
1.894736842105263,40.61224489795919,499999.90653233946,126.30250705096614,3532.154256279384,14.0841420557278,441.648209502886,157.50887925076077,284.5615081656473
2.0,40.61224489795919,499999.6771644582,127.23562836799647,3531.3193762383476,14.414610852245888,432.9146574147537,155.97013880860445,277.5701560240493
0.9473684210526315,40.816326530612244,499999.969019485,131.23161548289954,3527.4142336022355,8.79596379905092,429.25768010903346,155.10968363939716,275.2896828615779
1.0526315789473684,40.816326530612244,500000.0475815928,130.83966825533025,3527.9049493013313,9.342969442603565,434.31966189998934,156.1994498819384,279.1308115821674
1.1578947368421053,40.816326530612244,500000.14898290375,129.7622352189651,3529.128171906285,9.915176254994128,436.42668920704955,156.51200836514,281.06482306793174
1.263157894736842,40.816326530612244,499999.8633061232,129.78645932601694,3529.0581917550835,10.268663532288524,428.7003033421776,155.05213022936692,274.83315801419724
1.3684210526315788,40.816326530612244,499999.93702894484,128.90875981392264,3529.8009481766876,10.959284303523086,435.87224124172565,156.47976457180974,280.32876006445133
1.4736842105263157,40.816326530612244,499999.9481369883,128.07991501474953,3530.4894867829394,11.512138047169104,435.87627110802157,156.25773556096124,280.77331704393254
1.5789473684210527,40.816326530612244,499999.809221757,126.99067981230473,3531.5489274980964,12.167604536117599,439.60065239641216,157.1432117792572,283.2364751996878
1.6842105263157894,40.816326530612244,500000.1129817513,127.66854996177426,3531.1585824989493,12.644552064061457,433.19083423791517,155.85184651442194,278.5968539996326
1.789473684210526,40.816326530612244,499999.85377524735,127.34608668971578,3531.0821826625315,13.362107144495395,441.8916794147875,157.53491066131758,284.7634189638401
1.894736842105263,40.816326530612244,499999.9704849812,126.10849925173761,3531.924056622591,13.880514297536964,439.73350507126986,157.28642942997016,282.9309398868065
2.0,40.816326530612244,499999.7096943091,127.21247650813166,3531.2865810626963,14.607352768092277,439.08742798348106,156.98465859177355,283.2176472793827
0.9473684210526315,41.02040816326531,499999.8885282404,131.19103403210602,3527.4987892421314,8.719342033089944,428.67243146724854,155.13022538046823,274.7639177943894
1.0526315789473684,41.02040816326531,500000.1587469538,130.63929865873388,3528.352418069196,9.325396970061846,435.1924275641017,156.34241546595533,280.0778580803612
1.1578947368421053,41.02040816326531,499999.85550337227,129.753108114508,3529.078996415416,9.901025232782482,437.33521964788883,156.56981226796805,281.9299416966877
1.263157894736842,41.02040816326531,499999.97806466534,129.44562940819924,3529.035714444242,10.210217329919416,429.2043533609732,155.2212146380698,275.20922385216767
1.3684210526315788,41.02040816326531,499999.75855870347,127.98037421595564,3530.8518184942377,10.965395220019984,440.01742344222765,157.1689193424816,283.5403820329338
1.4736842105263157,41.02040816326531,500000.3013520224,127.90470641926822,3530.8902025786515,11.486584221355827,435.8460020759503,156.11698256233106,280.6774218827495
